time,ADM1_EN,ADM2_EN,lon,lat,precipitationCal,PROV_CODE,time2,time3
2022-02-13 00:00:00,Alaotra Mangoro,Ambatondrazaka,48.45000208979068,-17.93043385381284,0.27752796,3.0,2022-02-13,02-13
2022-02-13 00:00:00,Alaotra Mangoro,Amparafaravola,48.34750175476074,-17.437499046325684,0.2502512,3.0,2022-02-13,02-13
2022-02-13 00:00:00,Alaotra Mangoro,Andilamena,48.33593988418579,-16.718749523162842,1.2335236,3.0,2022-02-13,02-13
2022-02-13 00:00:00,Alaotra Mangoro,Anosibe-An'ala,48.120835622151695,-19.50833257039388,3.3916848,3.0,2022-02-13,02-13
2022-02-13 00:00:00,Alaotra Mangoro,Moramanga,48.253228341379476,-18.817741147933468,1.3432755,3.0,2022-02-13,02-13
2022-02-13 00:00:00,Amoron I Mania,Ambatofinandrahana,46.302176434060804,-20.493477614029594,4.833521,2.0,2022-02-13,02-13
2022-02-13 00:00:00,Amoron I Mania,Ambositra,47.307694948636566,-20.59615267240084,1.3711187,2.0,2022-02-13,02-13
2022-02-13 00:00:00,Amoron I Mania,Fandriana,47.444739291542454,-20.27105170802066,2.6588576,2.0,2022-02-13,02-13
2022-02-13 00:00:00,Amoron I Mania,Manandriana,47.02500343322754,-20.774999618530273,1.4257101,2.0,2022-02-13,02-13
2022-02-13 00:00:00,Analamanga,Ambohidratrimo,47.433336893717446,-18.683331807454426,3.2265987,1.0,2022-02-13,02-13
2022-02-13 00:00:00,Analamanga,Andramasina,47.742858341761995,-19.299998692103795,3.4910712,1.0,2022-02-13,02-13
2022-02-13 00:00:00,Analamanga,Anjozorobe,47.741894593109954,-18.1986482981089,3.4721978,1.0,2022-02-13,02-13
2022-02-13 00:00:00,Analamanga,Ankazobe,47.039395997018524,-18.16666620427912,15.9976015,1.0,2022-02-13,02-13
2022-02-13 00:00:00,Analamanga,Antananarivo Atsimondrano,47.48333867390951,-19.016666412353516,5.083985,1.0,2022-02-13,02-13
2022-02-13 00:00:00,Analamanga,Antananarivo Avaradrano,47.607145581926616,-18.878571101597377,6.2296753,1.0,2022-02-13,02-13
2022-02-13 00:00:00,Analamanga,Manjakandriana,47.788461245023285,-18.826922196608322,3.4218004,1.0,2022-02-13,02-13
2022-02-13 00:00:00,Analanjirofo,Fenerive Est,49.19231033325195,-17.1538452735314,0.011011981,3.0,2022-02-13,02-13
2022-02-13 00:00:00,Analanjirofo,Mananara-Avaratra,49.498650525067305,-16.23648584211195,0.08455913,3.0,2022-02-13,02-13
2022-02-13 00:00:00,Analanjirofo,Maroantsetra,49.480359486171174,-15.478569984436035,0.17732123,3.0,2022-02-13,02-13
2022-02-13 00:00:00,Analanjirofo,Sainte Marie,49.90000534057617,-16.950000762939453,0.38077012,3.0,2022-02-13,02-13
2022-02-13 00:00:00,Analanjirofo,Soanierana Ivongo,49.317569938865866,-16.717566928348027,0.051379934,3.0,2022-02-13,02-13
2022-02-13 00:00:00,Analanjirofo,Vavatenina,49.01800277709961,-17.521999053955078,0.0092411125,3.0,2022-02-13,02-13
2022-02-13 00:00:00,Androy,Ambovombe-Androy,45.79827815088733,-24.858619953023975,0.0,5.0,2022-02-13,02-13
2022-02-13 00:00:00,Androy,Bekily,45.40116500854492,-24.24999937900277,1.202258,5.0,2022-02-13,02-13
2022-02-13 00:00:00,Androy,Beloha,45.03604844559071,-25.073254696158475,0.0,5.0,2022-02-13,02-13
2022-02-13 00:00:00,Androy,Tsihombe,45.450002670288086,-25.370833079020183,0.0009663536,5.0,2022-02-13,02-13
2022-02-13 00:00:00,Anosy,Amboasary-Atsimo,46.364609064680806,-24.4230329106363,8.1680525e-08,5.0,2022-02-13,02-13
2022-02-13 00:00:00,Anosy,Betroka,45.88196957697634,-23.36967143074411,0.8312778,5.0,2022-02-13,02-13
2022-02-13 00:00:00,Anosy,Taolagnaro,46.965386610764725,-24.6269221672645,0.043703776,5.0,2022-02-13,02-13
2022-02-13 00:00:00,Atsimo Andrefana,Ampanihy Ouest,44.48440231323242,-24.52199917602539,0.28985766,5.0,2022-02-13,02-13
2022-02-13 00:00:00,Atsimo Andrefana,Ankazoabo,44.66818410700018,-22.157575318307586,0.16625126,5.0,2022-02-13,02-13
2022-02-13 00:00:00,Atsimo Andrefana,Benenitra,45.0961562914726,-23.4038450779059,2.9487195,5.0,2022-02-13,02-13
2022-02-13 00:00:00,Atsimo Andrefana,Beroroha,45.20625185966492,-21.48906171321869,3.9743824,5.0,2022-02-13,02-13
2022-02-13 00:00:00,Atsimo Andrefana,Betioky Atsimo,44.49143055507115,-23.671427808489117,0.28891358,5.0,2022-02-13,02-13
2022-02-13 00:00:00,Atsimo Andrefana,Morombe,43.692426392526336,-22.018181078361742,0.028616546,5.0,2022-02-13,02-13
2022-02-13 00:00:00,Atsimo Andrefana,Sakaraha,44.45540794166359,-22.777026305327546,0.6170951,5.0,2022-02-13,02-13
2022-02-13 00:00:00,Atsimo Andrefana,Toliary-I,43.65000534057617,-23.35000228881836,0.0,5.0,2022-02-13,02-13
2022-02-13 00:00:00,Atsimo Andrefana,Toliary-II,43.78764949125402,-23.19588151819566,0.0052941176,5.0,2022-02-13,02-13
2022-02-13 00:00:00,Atsimo Atsinanana,Befotaka,46.81333592732747,-23.866665903727213,0.009112292,2.0,2022-02-13,02-13
2022-02-13 00:00:00,Atsimo Atsinanana,Farafangana,47.67916742960612,-22.79583231608073,0.08072784,2.0,2022-02-13,02-13
2022-02-13 00:00:00,Atsimo Atsinanana,Midongy-Atsimo,47.00238527570452,-23.326189495268324,0.0523553,2.0,2022-02-13,02-13
2022-02-13 00:00:00,Atsimo Atsinanana,Vangaindrano,47.3977297002619,-23.545453851873223,0.056787387,2.0,2022-02-13,02-13
2022-02-13 00:00:00,Atsimo Atsinanana,Vondrozo,47.32407591078017,-22.687036443639684,1.0735544,2.0,2022-02-13,02-13
2022-02-13 00:00:00,Atsinanana,Antanambao Manampontsy,48.46000289916992,-19.559999084472658,0.015772015,3.0,2022-02-13,02-13
2022-02-13 00:00:00,Atsinanana,Brickaville,48.857274905118075,-18.648181221701883,2.1484206,3.0,2022-02-13,02-13
2022-02-13 00:00:00,Atsinanana,Mahanoro,48.51774412585843,-20.037095715922693,1.5606918,3.0,2022-02-13,02-13
2022-02-13 00:00:00,Atsinanana,Marolambo,47.99333521525065,-20.083333079020182,1.5131974,3.0,2022-02-13,02-13
2022-02-13 00:00:00,Atsinanana,Toamasina II,49.137501907348636,-18.004999351501464,2.0835526,3.0,2022-02-13,02-13
2022-02-13 00:00:00,Atsinanana,Vatomandry,48.78500213623047,-19.389999008178712,0.06331886,3.0,2022-02-13,02-13
